country,state,city,store_name,address_line_1,address_line_2,phone,url,id,updated,lang,store_name,address_line_1_local,address_line_2_local,state_local,city_local,postal_code,message_local,latitude,longitude,dates,days,times_local,special_hours,closed,time_created
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220619,Sunday,12:00 p.m. - 6:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220620,Monday,9:00 a.m. - 8:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220621,Tuesday,9:00 a.m. - 8:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220622,Wednesday,9:00 a.m. - 8:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220623,Thursday,9:00 a.m. - 8:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220624,Friday,9:00 a.m. - 8:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Birmingham,The Summit,217 Summit Boulevard,,(205) 909-2570,https://www.apple.com/retail/thesummit/,united-statesthesummit,TRUE,en-US,The Summit,217 Summit Boulevard,,Alabama,Birmingham,35243,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",33.44801152,-86.72851362,20220625,Saturday,9:00 a.m. - 8:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220619,Sunday,12:00 p.m. - 6:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220620,Monday,10:00 a.m. - 9:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220621,Tuesday,10:00 a.m. - 9:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220622,Wednesday,10:00 a.m. - 9:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220623,Thursday,10:00 a.m. - 9:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220624,Friday,10:00 a.m. - 9:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
United States,Alabama,Huntsville,Bridge Street,320 The Bridge Street,,(256) 327-8800,https://www.apple.com/retail/bridgestreet/,united-statesbridgestreet,TRUE,en-US,Bridge Street,320 The Bridge Street,,Alabama,Huntsville,35806,"<p>Please note that face masks are recommended while visiting this location. If you need one, just ask.</p>",34.716144,-86.673021,20220625,Saturday,10:00 a.m. - 9:00 p.m.,False,FALSE,2022.06.20D01:04:38.914313000
